timestamp,strategy,decks,hands,totalWagered,netResult,houseEdge
2026-09-20T03:01,dealer,4,60000,60000,-3956.5,6.59%
2026-09-20T03:03,dealer,4,60000,60000,-3345.5,5.58%
2026-09-20T03:03,dealer,4,60000,60000,-3691,6.15%
2026-09-20T03:03,dealer,4,60000,60000,-3520.5,5.87%
